SampleName	HALLMARK.ADIPOGENESIS	HALLMARK.ALLOGRAFT.REJECTION	HALLMARK.ANDROGEN.RESPONSE	HALLMARK.ANGIOGENESIS	HALLMARK.APICAL.JUNCTION	HALLMARK.APICAL.SURFACE	HALLMARK.APOPTOSIS	HALLMARK.BILE.ACID.METABOLISM	HALLMARK.CHOLESTEROL.HOMEOSTASIS	HALLMARK.COAGULATION	HALLMARK.COMPLEMENT	HALLMARK.DNA.REPAIR	HALLMARK.E2F.TARGETS	HALLMARK.EPITHELIAL.MESENCHYMAL.TRANSITION	HALLMARK.ESTROGEN.RESPONSE.EARLY	HALLMARK.ESTROGEN.RESPONSE.LATE	HALLMARK.FATTY.ACID.METABOLISM	HALLMARK.G2M.CHECKPOINT	HALLMARK.GLYCOLYSIS	HALLMARK.HEDGEHOG.SIGNALING	HALLMARK.HEME.METABOLISM	HALLMARK.HYPOXIA	HALLMARK.IL2.STAT5.SIGNALING	HALLMARK.IL6.JAK.STAT3.SIGNALING	HALLMARK.INFLAMMATORY.RESPONSE	HALLMARK.INTERFERON.ALPHA.RESPONSE	HALLMARK.INTERFERON.GAMMA.RESPONSE	HALLMARK.KRAS.SIGNALING.DN	HALLMARK.KRAS.SIGNALING.UP	HALLMARK.MITOTIC.SPINDLE	HALLMARK.MTORC1.SIGNALING	HALLMARK.MYC.TARGETS.V1	HALLMARK.MYC.TARGETS.V2	HALLMARK.MYOGENESIS	HALLMARK.NOTCH.SIGNALING	HALLMARK.OXIDATIVE.PHOSPHORYLATION	HALLMARK.P53.PATHWAY	HALLMARK.PANCREAS.BETA.CELLS	HALLMARK.PEROXISOME	HALLMARK.PI3K.AKT.MTOR.SIGNALING	HALLMARK.PROTEIN.SECRETION	HALLMARK.REACTIVE.OXYGEN.SPECIES.PATHWAY	HALLMARK.SPERMATOGENESIS	HALLMARK.TGF.BETA.SIGNALING	HALLMARK.TNFA.SIGNALING.VIA.NFKB	HALLMARK.UNFOLDED.PROTEIN.RESPONSE	HALLMARK.UV.RESPONSE.DN	HALLMARK.UV.RESPONSE.UP	HALLMARK.WNT.BETA.CATENIN.SIGNALING	HALLMARK.XENOBIOTIC.METABOLISM
VanAllen.antiCTLA4.2015.p028.ar.660032	0.4442467999585763	0.42930252481460496	0.4410574102565225	0.18063155829414618	0.2912336098050042	0.142292390735535	0.4061439836813717	0.14496288921531714	0.3873778962698468	0.25769338855316115	0.39297564646851435	0.4570604049192319	0.4585132627878858	0.213694613446275	0.17629770115088333	0.1410593196071334	0.3947794047777636	0.47917288831774235	0.35273965505889615	0.2708852158428596	0.3138575575719436	0.323369814391564	0.24096364339716	0.20035291350019074	0.18789683244114425	0.6869876921305504	0.6196894947681937	-0.22183243695953492	0.1664869645284971	0.5754862142895063	0.5557954271476663	0.7198032710877219	0.5069948047904684	0.12711520912957314	0.2864869397823618	0.5990333888655983	0.3735084570701811	-0.14547293478882659	0.38910140557405026	0.47778937893715245	0.6038299688297142	0.49472626757692045	-0.02538778937455015	0.4514769471068887	0.2820479504515614	0.5924346455452754	0.41087098032141456	0.3575833133819279	0.21059592096133703	0.19090712650702524
VanAllen.antiCTLA4.2015.p029.ar.681702	0.4630366234127024	0.35260771031398336	0.4768990426751358	0.3068519951893116	0.35720349662305584	0.1481298640605038	0.43617716458085043	0.1601237888071892	0.40439371781250505	0.24041495711953528	0.3422076513881046	0.42628152748268183	0.49717793598778465	0.39322250291861705	0.23162936316850424	0.20133800450303163	0.36203749107605376	0.5115469858536041	0.3600096460678314	0.3228263033371186	0.3158650970258981	0.3505312613148126	0.2980261143173959	0.2122035507383863	0.13759899939687878	0.5145536380925552	0.47647906054090367	-0.18496117733883294	0.19819684033716842	0.6129363733964963	0.5369557146872865	0.6959740671713116	0.4748603304125508	0.2161262705945653	0.3863499652327338	0.5358790278806166	0.3703024684519045	-0.2355779870904314	0.34278159844832734	0.4823934312812305	0.5680085297414414	0.475640911632509	-0.03293874730975297	0.5169061483934176	0.27342673897634184	0.5599137830928175	0.4757035041123457	0.33621353778597995	0.333452884695899	0.2234303091548035
VanAllen.antiCTLA4.2015.p033.ar.779097	0.42630241104913286	0.17419734485847227	0.4932950854021876	0.34038129697972336	0.315911808993156	0.09137688485232213	0.4073462364562642	0.11464997318736023	0.4739865438094435	0.15196929029528072	0.2566885425407827	0.45942577191053374	0.509273702375025	0.34325714580789424	0.2101211510717462	0.17370952702124995	0.37052818746965704	0.5347572681405978	0.3711254530424208	0.33798073222833724	0.33295255594510453	0.3682836450678821	0.21670976538660472	0.043358956430733085	0.07689505992547133	0.46541199321727744	0.3638674377178974	-0.1839187043369771	0.09643810264784282	0.5963661485476772	0.580496864661298	0.7212475091430846	0.47135595526497304	0.1700482926535899	0.3991701668407943	0.5923763732289784	0.3898342649806606	-0.14312196191668383	0.3552210470420542	0.49787501200094286	0.6383498155870436	0.4831422869401457	-0.027421532745128895	0.5247998027809058	0.26555701743948146	0.5973655814921314	0.4741708467532619	0.3430991939999676	0.4217334164109766	0.21817581644225006
VanAllen.antiCTLA4.2015.p036.ar.777976	0.407176648581019	0.1395388500004115	0.4571035588747867	0.3329952473333771	0.30683218781657995	0.046480269160839846	0.3680285386163944	0.15709677752271195	0.32354857202324205	0.19267617189920205	0.23215539206601674	0.4412317044182639	0.5090533204008949	0.33559975792147495	0.11880556389199982	0.06552229737815969	0.35087060327269165	0.522873314170093	0.3620791435031355	0.21638542002942984	0.27255423212423047	0.2685169636507714	0.15598369120848005	0.04432511003213745	0.04528679034491981	0.5000116417788765	0.3609157455739138	-0.18003238583188388	0.1718844675624809	0.5984218829203213	0.4994749843514533	0.719114276783553	0.48454687860828893	0.14906369341461106	0.3585099166785553	0.5544698688583641	0.2935439638714999	-0.15386441393335884	0.3259464778527679	0.41770840385181446	0.6227766255905154	0.39400211463806584	0.004992202426977174	0.4754655075440477	0.19215373745848952	0.583811718636315	0.48579955353222865	0.2930567628951621	0.2513718644442823	0.16765631747965115
VanAllen.antiCTLA4.2015.p037.ar.778466	0.4466157710986133	0.24481430936989496	0.5271946183678436	0.45777894511982803	0.3166740859445946	0.1575105181371798	0.4037135983935341	0.15405237281629053	0.4255134567388191	0.24534686323442642	0.30568483283458786	0.4272431879109255	0.5759369425457218	0.42421769313887836	0.223869335854033	0.22369457212564142	0.38571472902539533	0.5912713465548792	0.4483844861379078	0.37070062901982037	0.2878414338225459	0.3803089288086944	0.2559428332621556	0.13244753014762803	0.09028869484925359	0.4495186967385577	0.3918943638061466	-0.21835485957203024	0.16725908904959844	0.6447440078315297	0.5874318036810608	0.7178856757225291	0.4349406719612873	0.18558697174163047	0.311491494873266	0.5430312188994654	0.34013518928321657	-0.15868288881513584	0.3475234529501582	0.44045407417161314	0.6205935599122612	0.4427835089531808	0.02558651822538914	0.5070849642427251	0.25005782560111706	0.5789825101709372	0.4903095497695078	0.32754589335259043	0.3106590087930594	0.17595925242487562
VanAllen.antiCTLA4.2015.p038.ar.778056	0.45845912350394696	0.4164115428818318	0.5211784084744763	0.419834434919551	0.327643351304792	0.18014485982177725	0.45671456063383564	0.16987928883622677	0.4391037102162937	0.32086076217914433	0.41749367395508763	0.4127351040113886	0.5102987070144018	0.4523005625480758	0.20466267581197875	0.18471146016607667	0.387798128295389	0.5398847818029237	0.37363282856419017	0.32879306639402617	0.31318816544843525	0.3501490996497711	0.3014736075096951	0.2724670270800781	0.222941081285813	0.5625042170317957	0.5434027064255034	-0.2249481938997787	0.25707262241537293	0.6273374020443248	0.5910200402531463	0.6967307482823074	0.44393375775236205	0.1920088237308469	0.4011078056707183	0.5892138920302147	0.3889957418975882	-0.1670528238617724	0.3664267645132812	0.4844977071226591	0.6139604828781776	0.5438965042420422	-0.035765438092402485	0.5304869903107401	0.32763628308880244	0.5862184041100387	0.49297148548567177	0.3677867239392652	0.33936629031341725	0.23345242746894507
VanAllen.antiCTLA4.2015.p039.ar.665516	0.5095563908325037	0.38750518432714864	0.5106538200004085	0.45192087309899515	0.3729502431256452	0.17588137007164883	0.426139293696788	0.17849558126904477	0.37129488286999157	0.3405789586258727	0.42640925704240457	0.3048319412498864	0.29766515135929417	0.5193885432487396	0.20299308002480276	0.17196079241781673	0.37206265699876123	0.34742686240990805	0.296737329576437	0.3032899704074852	0.28093111988307307	0.3497453054308339	0.29893823546227744	0.29767866737325616	0.1950346675842445	0.5448408633295667	0.5257019202695778	-0.16862371908731302	0.2760410465492925	0.5492912771056995	0.4389683810824531	0.5647491919877238	0.3022710861565693	0.27009967176956373	0.34580708448488556	0.4592894500561805	0.3371765218614453	-0.22236726335748447	0.32868832145420923	0.4222590488593624	0.5595344227176522	0.44105548726591437	-0.11975837634503644	0.539944931489815	0.2679798399145422	0.5062402472893439	0.5758709209996156	0.3062616757790419	0.3973228596998984	0.26326737006182604
VanAllen.antiCTLA4.2015.p040.ar.751521	0.43080958500399646	0.2948791770251576	0.4661901472971387	0.4636682557597212	0.3545300175742131	0.17851118119718226	0.4465634863102457	0.17650209319716215	0.40205976010644884	0.32053781662879405	0.3385195016831956	0.383819986561358	0.44470479115588324	0.501403808922433	0.2073087051320443	0.1652722209760165	0.3390948903073141	0.47423202625606725	0.3784045279224251	0.44357095250323214	0.293106495008464	0.3625885828590108	0.23112019090347793	0.146296176067041	0.14842674395325745	0.4302690384350531	0.4321151221911992	-0.24831241585315184	0.23077893370632566	0.589906588724685	0.5140385401015712	0.6602451080545179	0.4276468575793711	0.2245785384494649	0.3827115774697481	0.5060048233260332	0.34165051227584625	-0.1715087988739593	0.3486851388722421	0.43765738915427743	0.6122225093685933	0.39051333962173235	-0.03796218614410446	0.5600310356265837	0.2999817326488084	0.5434821120284006	0.5054875662933817	0.3027881421134467	0.32651789958105415	0.20962967361857063
VanAllen.antiCTLA4.2015.p041.ar.083584	0.44176183781346245	0.25131421583857305	0.45920720984576086	0.39111261726222657	0.3369710896516749	0.03757022838460253	0.40963439512424005	0.1556894916467364	0.37225341567113285	0.26895230789403796	0.30234469903830413	0.3854435011197161	0.44038121136064884	0.40200199641829537	0.19903979778791991	0.15208884500423422	0.3765598893376332	0.46831737348603103	0.353230346234457	0.3039228535842732	0.2735366951343347	0.3693174436498452	0.21122469742926028	0.08989350457911632	0.09178320882444585	0.39931622590876487	0.3888436420272623	-0.20002165264984867	0.1382942253506016	0.5889252673079725	0.495067991332075	0.6625841460534962	0.5001243237885737	0.23429949039968456	0.3800112474726631	0.5650324214301391	0.3535597893136482	-0.12077944310560687	0.332794182617066	0.4261797353893525	0.5135666961585748	0.466321487882173	-0.04439156069592832	0.5009602230802905	0.2803018085630409	0.5298985152773096	0.4564156643312993	0.3483352019097688	0.3976525100641357	0.21583103493599842
VanAllen.antiCTLA4.2015.p043.ar.771286	0.44284243938601775	0.44659859041163136	0.525101135393829	0.42488652409215794	0.36785400718461375	0.18176807798085276	0.4694160206500456	0.14514227648197772	0.372577769488344	0.336103609106846	0.45041343316288684	0.32652018544918754	0.35322241502089397	0.58332120554991	0.16356840526315425	0.14929003780843728	0.3509091448920721	0.41056701462461476	0.3149993171300886	0.2856429319372371	0.27605365482719135	0.3670527145953968	0.3141437307312536	0.3311190847250042	0.24993404047633103	0.5955939234093607	0.5892711249357767	-0.20926768468298604	0.3156338807799874	0.5789947892256917	0.46444548902929145	0.6000242802553762	0.2459569394593747	0.26161221134457163	0.34518552234147126	0.4712844973256075	0.34980883714272676	-0.16984345067464487	0.3190607839546484	0.4406009120183759	0.5995985330380345	0.4409929803834699	-0.07270727982047243	0.608894580600631	0.3623315905095512	0.5335824861799108	0.591067059563272	0.3197491052225341	0.3504980923786073	0.2487298176070643
VanAllen.antiCTLA4.2015.p044.ar.780123	0.4048476329500394	0.05342759316906408	0.453894350553341	0.3003132542335538	0.26748834538751115	0.05851239939224931	0.3247324878611425	0.13628794976663183	0.3768373235848022	0.10056977569677765	0.16147787961031018	0.4522713267084849	0.5320896931912518	0.264837579151013	0.1361864847029708	0.10656235638835322	0.3451601532304806	0.5365916948844613	0.3143865407352859	0.30311563346939724	0.2956903673986679	0.25746891773773506	0.1420255274879868	-0.0483466954025631	-0.023784799499604502	0.31890120466054334	0.2375329964458372	-0.19202410815750146	0.04962832705765158	0.591445092142069	0.48894200886993716	0.7118799523923853	0.5177038489801399	0.1572856879350645	0.40966924758076234	0.55955837417276	0.31729148082179487	-0.12054872229971582	0.3345393298149734	0.4341872126634576	0.5990718557056159	0.40390051782185366	-0.004018518509611002	0.44260819224919384	0.1354217503851618	0.5434561539509042	0.4450876322388612	0.29149383758339015	0.279076132198351	0.1119157543920428
VanAllen.antiCTLA4.2015.p045.ar.777065	0.4214640922662822	0.0811462858633324	0.4464851680353731	0.3785460271261727	0.2809455354492335	0.06880330612438068	0.34578071653698034	0.18435872160415293	0.384301819487242	0.18076600548259192	0.19775245676658856	0.4082564819901992	0.47884928762717116	0.30703732232441144	0.16868152773810666	0.10198444788709947	0.366904624375252	0.5025696339685596	0.3763556340878024	0.330819708030626	0.27603649831098936	0.31333223003358324	0.1509484884063339	-0.011364690887510192	-0.009844857588978698	0.4330272256550155	0.28344488170161647	-0.19192942351252543	0.1023108099490974	0.5931440301624794	0.5078666946609298	0.6868716193081117	0.4930058196249856	0.19739453809696206	0.3619637457661143	0.5345686235234512	0.2858866346157747	-0.18203565295721583	0.3596865293197043	0.378719051324975	0.5875420392523271	0.4183527168159251	-0.03610486986825115	0.45372871211798577	0.16542929803388642	0.5393814897190451	0.44603806677638624	0.3186663550973529	0.2990690614476798	0.1638347220480082
VanAllen.antiCTLA4.2015.p046.ar.777217	0.3788472877760643	0.2757873658446405	0.44664264496615275	0.4484612966066217	0.3627862206822409	0.11155713528807226	0.41547531949572436	0.13440307744608238	0.3249388823959763	0.2871966429897105	0.3098684907629907	0.39298994288750555	0.49013184160408024	0.4747049789140161	0.1078579706950496	0.09150582387802633	0.28786962199349486	0.5355857475360921	0.3532767598819332	0.3521718167711945	0.23029289736929623	0.351135751971687	0.2531661873730601	0.158149061698942	0.1503608762509308	0.40363278213798337	0.38577796375047135	-0.18039309952224045	0.22385797652392217	0.6345439252910745	0.45597413262218345	0.6640200068384553	0.39254222297880714	0.1998789328826836	0.41307023289819056	0.4621707093207906	0.32539281964436545	-0.17200678972045622	0.3231851522370251	0.4144574256405341	0.5384110909424478	0.42373263961891383	-0.04337616880754127	0.6033378063371527	0.29901074391585025	0.5178435283038156	0.4781829435610575	0.2789629838032112	0.34233557436547807	0.16284324374327866
VanAllen.antiCTLA4.2015.p047.ar.771707	0.4446298837370981	0.2420313108899243	0.4514485748140478	0.30627199129228033	0.32088929199812494	0.13510387775756635	0.43720081575047864	0.13521942098757314	0.4135230361503301	0.24475035575639006	0.32932717793766164	0.4432286412487502	0.44246976424030343	0.37160988595445216	0.17756343767774224	0.13897622772507076	0.3715268587163341	0.45614704361597896	0.37335783766160224	0.3625392316922504	0.3110533681803057	0.36544771529568737	0.2262116799032424	0.09579949349429522	0.11157333673435604	0.6641049070845021	0.5204440173256686	-0.18822222473935293	0.14979912537673157	0.5766159809489289	0.5179371928924354	0.6909727720079148	0.4882656363272972	0.17972088593301122	0.4130850526756618	0.5733966503548621	0.38066575171492867	-0.18566088012590615	0.36503762364209213	0.45360337440311976	0.6186112001791135	0.4643636353871389	-0.04643626644501131	0.5264575655911448	0.3007953884216899	0.5879578020802476	0.4664830893986597	0.360386689657879	0.33294687495978137	0.20836283306286557
