term	gene
HALLMARK.ADIPOGENESIS	FAH
HALLMARK.ADIPOGENESIS	FZD4
HALLMARK.ADIPOGENESIS	G3BP2
HALLMARK.ADIPOGENESIS	GADD45A
HALLMARK.ADIPOGENESIS	GBE1
HALLMARK.ADIPOGENESIS	GHITM
HALLMARK.ADIPOGENESIS	GPAM
HALLMARK.ADIPOGENESIS	GPAT4
HALLMARK.ADIPOGENESIS	GPD2
HALLMARK.ADIPOGENESIS	GPHN
HALLMARK.ADIPOGENESIS	GPX3
HALLMARK.ADIPOGENESIS	GPX4
HALLMARK.ADIPOGENESIS	GRPEL1
HALLMARK.ADIPOGENESIS	HADH
HALLMARK.ADIPOGENESIS	HIBCH
HALLMARK.ADIPOGENESIS	HSPB8
HALLMARK.ADIPOGENESIS	IDH1
HALLMARK.ADIPOGENESIS	IDH3A
HALLMARK.ADIPOGENESIS	IDH3G
HALLMARK.ADIPOGENESIS	IFNGR1
HALLMARK.ADIPOGENESIS	IMMT
HALLMARK.ADIPOGENESIS	ITGA7
HALLMARK.ADIPOGENESIS	ITIH5
HALLMARK.ADIPOGENESIS	ITSN1
HALLMARK.ADIPOGENESIS	JAGN1
HALLMARK.ADIPOGENESIS	LAMA4
HALLMARK.ADIPOGENESIS	LEP
HALLMARK.ADIPOGENESIS	LIFR
HALLMARK.ADIPOGENESIS	LIPE
HALLMARK.ADIPOGENESIS	LPCAT3
HALLMARK.ADIPOGENESIS	LPL
HALLMARK.ADIPOGENESIS	LTC4S
HALLMARK.ADIPOGENESIS	LTC4S
HALLMARK.ADIPOGENESIS	MAP4K3
HALLMARK.ADIPOGENESIS	MCCC1
HALLMARK.ADIPOGENESIS	MDH2
HALLMARK.ADIPOGENESIS	ME1
HALLMARK.ADIPOGENESIS	MGLL
HALLMARK.ADIPOGENESIS	MGST3
HALLMARK.ADIPOGENESIS	MIGA2
HALLMARK.ADIPOGENESIS	MRAP
HALLMARK.ADIPOGENESIS	MRPL15
HALLMARK.ADIPOGENESIS	MTARC2
HALLMARK.ADIPOGENESIS	MTCH2
HALLMARK.ADIPOGENESIS	MTCH2
HALLMARK.ADIPOGENESIS	MYLK
